,Phone,Area_Code,State,Churn,Intl_Plan,Vmail_Plan,CustServ_Calls,Vmail_Message,Account_Length,Day_Mins,Eve_Mins,Night_Mins,Intl_Mins,Total_Mins,Day_Calls,Eve_Calls,Night_Calls,Intl_Calls,Day_Charge,Eve_Charge,Night_Charge,Intl_Charge,Total_Calls,Total_Charge,Avg_Daily_Charge,Avg_Cost_Per_Minute,Avg_Minutes_Per_Call,Avg_Cost_Per_Call,Day_Mins_to_Total,Eve_Mins_to_Total,Night_Mins_to_Total,Intl_Mins_to_Total,Day_Charge_to_Total,Eve_Charge_to_Total,Night_Charge_to_Total,Intl_Charge_to_Total,Care_Status,Total_Charge_Over_70
814,367-1424,510,WA,no,no,yes,1,41,75,130.9,203.4,171.7,12.4,518.4,115,110,68,4,22.25,17.29,7.73,3.35,297,50.62,0.67,0.1,1.75,0.17,25.25,39.24,33.12,2.39,43.95,34.16,15.27,6.62,low,no
815,341-1191,415,KY,yes,no,no,2,0,75,314.6,169.8,285.1,5.7,775.2,102,86,100,3,53.48,14.43,12.83,1.54,291,82.28,1.1,0.11,2.66,0.28,40.58,21.9,36.78,0.74,65.0,17.54,15.59,1.87,high,yes
816,342-9480,510,OH,no,no,no,1,0,83,227.9,207.5,211.7,12.1,659.2,78,115,100,5,38.74,17.64,9.53,3.27,298,69.18,0.83,0.1,2.21,0.23,34.57,31.48,32.11,1.84,56.0,25.5,13.78,4.73,low,no
817,355-9360,510,UT,no,no,no,2,0,243,95.5,163.7,264.2,6.6,530.0,92,63,118,6,16.24,13.91,11.89,1.78,279,43.82,0.18,0.08,1.9,0.16,18.02,30.89,49.85,1.25,37.06,31.74,27.13,4.06,high,no
818,343-1538,408,NM,no,no,no,1,0,153,185.3,208.0,206.1,15.1,614.5,127,73,124,3,31.5,17.68,9.27,4.08,327,62.53,0.41,0.1,1.88,0.19,30.15,33.85,33.54,2.46,50.38,28.27,14.82,6.52,low,no
819,335-2331,415,MN,no,no,no,1,0,150,146.3,202.7,234.7,13.1,596.8,133,95,103,3,24.87,17.23,10.56,3.54,334,56.2,0.37,0.09,1.79,0.17,24.51,33.96,39.33,2.2,44.25,30.66,18.79,6.3,low,no
820,335-7257,510,WV,no,no,yes,2,16,92,184.0,76.4,185.1,12.7,458.2,99,134,96,3,31.28,6.49,8.33,3.43,332,49.53,0.54,0.11,1.38,0.15,40.16,16.67,40.4,2.77,63.15,13.1,16.82,6.93,high,no
821,332-2137,415,MN,no,no,no,0,0,80,105.8,43.9,189.6,13.1,352.4,110,88,87,5,17.99,3.73,8.53,3.54,290,33.79,0.42,0.1,1.22,0.12,30.02,12.46,53.8,3.72,53.24,11.04,25.24,10.48,none,no
822,352-2998,415,AL,no,no,no,1,0,134,178.0,153.8,236.6,11.7,580.1,110,64,105,4,30.26,13.07,10.65,3.16,283,57.14,0.43,0.1,2.05,0.2,30.68,26.51,40.79,2.02,52.96,22.87,18.64,5.53,low,no
823,346-6941,510,PA,no,no,yes,1,24,77,149.4,123.9,174.3,10.1,457.7,74,72,84,6,25.4,10.53,7.84,2.73,236,46.5,0.6,0.1,1.94,0.2,32.64,27.07,38.08,2.21,54.62,22.65,16.86,5.87,low,no
824,400-2203,510,DE,no,no,no,2,0,147,209.4,132.5,149.4,11.3,502.6,104,78,123,3,35.6,11.26,6.72,3.05,308,56.63,0.39,0.11,1.63,0.18,41.66,26.36,29.73,2.25,62.86,19.88,11.87,5.39,high,no
825,421-2955,415,MO,no,no,no,1,0,74,172.1,211.7,182.2,11.6,577.6,105,99,105,6,29.26,17.99,8.2,3.13,315,58.58,0.79,0.1,1.83,0.19,29.8,36.65,31.54,2.01,49.95,30.71,14.0,5.34,low,no
826,331-6629,510,IL,no,yes,no,1,0,138,169.3,217.9,184.2,9.4,580.8,82,147,77,9,28.78,18.52,8.29,2.54,315,58.13,0.42,0.1,1.84,0.18,29.15,37.52,31.71,1.62,49.51,31.86,14.26,4.37,low,no
827,343-6314,415,FL,no,no,no,0,0,143,119.1,287.7,223.0,12.2,642.0,117,136,100,4,20.25,24.45,10.04,3.29,357,58.03,0.41,0.09,1.8,0.16,18.55,44.81,34.74,1.9,34.9,42.13,17.3,5.67,none,no
828,414-6638,415,HI,no,no,no,2,0,64,194.2,173.4,268.7,5.5,641.8,147,87,114,2,33.01,14.74,12.09,1.49,350,61.33,0.96,0.1,1.83,0.18,30.26,27.02,41.87,0.86,53.82,24.03,19.71,2.43,high,no
829,350-5883,510,ME,no,no,no,2,0,120,198.8,230.1,119.8,9.9,558.6,56,73,81,3,33.8,19.56,5.39,2.67,213,61.42,0.51,0.11,2.62,0.29,35.59,41.19,21.45,1.77,55.03,31.85,8.78,4.35,high,no
830,409-4447,408,CO,yes,yes,no,3,0,121,167.7,93.7,241.3,13.4,516.1,94,121,115,1,28.51,7.96,10.86,3.62,331,50.95,0.42,0.1,1.56,0.15,32.49,18.16,46.75,2.6,55.96,15.62,21.32,7.11,critical,no
831,376-4856,415,NH,no,no,no,2,0,88,202.2,216.8,239.4,11.8,670.2,86,93,99,2,34.37,18.43,10.77,3.19,280,66.76,0.76,0.1,2.39,0.24,30.17,32.35,35.72,1.76,51.48,27.61,16.13,4.78,high,no
832,335-1874,408,SC,yes,no,no,2,0,87,322.5,204.6,186.2,9.4,722.7,106,93,128,4,54.83,17.39,8.38,2.54,331,83.14,0.96,0.12,2.18,0.25,44.62,28.31,25.76,1.3,65.95,20.92,10.08,3.06,high,yes
833,397-6255,510,IN,no,no,no,0,0,100,216.2,215.6,138.4,10.2,580.4,107,84,127,3,36.75,18.33,6.23,2.75,321,64.06,0.64,0.11,1.81,0.2,37.25,37.15,23.85,1.76,57.37,28.61,9.73,4.29,none,no
834,381-5047,415,FL,no,no,no,3,0,104,76.4,115.6,226.3,9.4,427.7,116,74,94,3,12.99,9.83,10.18,2.54,287,35.54,0.34,0.08,1.49,0.12,17.86,27.03,52.91,2.2,36.55,27.66,28.64,7.15,critical,no
835,403-6850,510,GA,no,no,no,1,0,27,72.7,208.6,65.8,9.9,357.0,75,117,71,3,12.36,17.73,2.96,2.67,266,35.72,1.32,0.1,1.34,0.13,20.36,58.43,18.43,2.77,34.6,49.64,8.29,7.47,low,no
836,375-3658,415,IL,no,no,yes,0,31,81,210.4,225.5,168.7,9.7,614.3,100,97,120,4,35.77,19.17,7.59,2.62,321,65.15,0.8,0.11,1.91,0.2,34.25,36.71,27.46,1.58,54.9,29.42,11.65,4.02,none,no
837,341-2603,510,NC,no,yes,yes,0,33,64,127.2,162.9,247.4,8.1,545.6,93,104,109,13,21.62,13.85,11.13,2.19,319,48.79,0.76,0.09,1.71,0.15,23.31,29.86,45.34,1.48,44.31,28.39,22.81,4.49,none,no
838,342-5062,510,VT,no,no,yes,1,28,107,201.8,304.9,225.6,11.9,744.2,79,128,133,8,34.31,25.92,10.15,3.21,348,73.59,0.69,0.1,2.14,0.21,27.12,40.97,30.31,1.6,46.62,35.22,13.79,4.36,low,yes
839,354-1558,415,DC,no,no,yes,1,17,88,219.5,222.1,188.3,16.1,646.0,78,94,92,5,37.32,18.88,8.47,4.35,269,69.02,0.78,0.11,2.4,0.26,33.98,34.38,29.15,2.49,54.07,27.35,12.27,6.3,low,no
840,351-9537,408,VT,no,no,no,3,0,111,99.3,270.5,225.3,9.0,604.1,112,136,94,6,16.88,22.99,10.14,2.43,348,52.44,0.47,0.09,1.74,0.15,16.44,44.78,37.3,1.49,32.19,43.84,19.34,4.63,critical,no
841,401-1252,415,NV,no,no,no,5,0,77,239.2,150.0,160.8,10.3,560.3,114,115,81,2,40.66,12.75,7.24,2.78,312,63.43,0.82,0.11,1.8,0.2,42.69,26.77,28.7,1.84,64.1,20.1,11.41,4.38,critical,no
842,366-9538,415,OR,no,yes,no,2,0,67,120.9,235.0,95.1,11.4,462.4,58,88,130,11,20.55,19.98,4.28,3.08,287,47.89,0.71,0.1,1.61,0.17,26.15,50.82,20.57,2.47,42.91,41.72,8.94,6.43,high,no
843,364-7622,408,AL,no,no,no,1,0,102,224.7,129.4,167.6,15.8,537.5,81,112,109,6,38.2,11.0,7.54,4.27,308,61.01,0.6,0.11,1.75,0.2,41.8,24.07,31.18,2.94,62.61,18.03,12.36,7.0,low,no
844,393-9918,408,ND,no,no,yes,1,19,146,176.6,162.7,215.5,14.6,569.4,88,66,98,6,30.02,13.83,9.7,3.94,258,57.49,0.39,0.1,2.21,0.22,31.02,28.57,37.85,2.56,52.22,24.06,16.87,6.85,low,no
845,376-4484,415,FL,no,no,yes,1,51,144,283.9,192.0,196.3,10.0,682.2,98,109,85,4,48.26,16.32,8.83,2.7,296,76.11,0.53,0.11,2.3,0.26,41.62,28.14,28.77,1.47,63.41,21.44,11.6,3.55,low,yes
846,410-6791,415,NE,yes,no,no,1,0,96,180.6,190.9,295.6,10.3,677.4,92,114,125,4,30.7,16.23,13.3,2.78,335,63.01,0.66,0.09,2.02,0.19,26.66,28.18,43.64,1.52,48.72,25.76,21.11,4.41,low,no
847,343-2392,415,ND,no,no,yes,1,31,70,125.9,196.4,252.7,10.3,585.3,101,102,75,4,21.4,16.69,11.37,2.78,282,52.24,0.75,0.09,2.08,0.19,21.51,33.56,43.17,1.76,40.96,31.95,21.76,5.32,low,no
848,408-4323,408,ME,no,no,no,0,0,149,237.6,192.4,207.4,9.1,646.5,79,107,111,9,40.39,16.35,9.33,2.46,306,68.53,0.46,0.11,2.11,0.22,36.75,29.76,32.08,1.41,58.94,23.86,13.61,3.59,none,no
849,395-1718,415,IL,no,no,no,2,0,129,198.4,264.7,111.4,9.2,583.7,91,106,101,2,33.73,22.5,5.01,2.48,300,63.72,0.49,0.11,1.95,0.21,33.99,45.35,19.09,1.58,52.93,35.31,7.86,3.89,high,no
850,354-9492,408,WA,no,no,no,0,0,166,274.3,52.9,246.1,10.9,584.2,110,109,119,5,46.63,4.5,11.07,2.94,343,65.14,0.39,0.11,1.7,0.19,46.95,9.06,42.13,1.87,71.58,6.91,16.99,4.51,none,no
851,367-8168,408,MA,yes,yes,no,3,0,136,199.6,211.4,72.4,11.0,494.4,89,96,84,4,33.93,17.97,3.26,2.97,273,58.13,0.43,0.12,1.81,0.21,40.37,42.76,14.64,2.22,58.37,30.91,5.61,5.11,critical,no
852,340-3500,510,KS,no,no,no,3,0,149,217.7,273.5,226.9,9.6,727.7,91,74,99,3,37.01,23.25,10.21,2.59,267,73.06,0.49,0.1,2.73,0.27,29.92,37.58,31.18,1.32,50.66,31.82,13.97,3.55,critical,yes
853,369-4962,415,RI,no,no,no,3,0,70,134.7,235.9,260.2,7.6,638.4,96,90,113,6,22.9,20.05,11.71,2.05,305,56.71,0.81,0.09,2.09,0.19,21.1,36.95,40.76,1.19,40.38,35.36,20.65,3.61,critical,no
854,334-8967,415,MO,no,no,yes,2,24,120,212.7,257.5,227.8,9.7,707.7,73,103,119,13,36.16,21.89,10.25,2.62,308,70.92,0.59,0.1,2.3,0.23,30.06,36.39,32.19,1.37,50.99,30.87,14.45,3.69,high,yes
855,402-2377,510,IA,no,no,no,2,0,66,256.3,180.2,187.3,6.2,630.0,135,106,135,7,43.57,15.32,8.43,1.67,383,68.99,1.05,0.11,1.64,0.18,40.68,28.6,29.73,0.98,63.15,22.21,12.22,2.42,high,no
856,366-3917,408,WY,no,no,no,1,0,104,183.6,120.7,215.1,12.7,532.1,133,98,112,2,31.21,10.26,9.68,3.43,345,54.58,0.52,0.1,1.54,0.16,34.5,22.68,40.42,2.39,57.18,18.8,17.74,6.28,low,no
857,333-3531,415,NV,no,no,no,1,0,160,176.2,196.0,263.9,9.2,645.3,90,115,95,4,29.95,16.66,11.88,2.48,304,60.97,0.38,0.09,2.12,0.2,27.31,30.37,40.9,1.43,49.12,27.32,19.48,4.07,low,no
858,333-8954,415,WI,no,no,yes,1,37,129,205.0,165.4,185.0,11.7,567.1,94,103,81,8,34.85,14.06,8.32,3.16,286,60.39,0.47,0.11,1.98,0.21,36.15,29.17,32.62,2.06,57.71,23.28,13.78,5.23,low,no
859,374-9203,408,AL,yes,no,no,3,0,93,267.9,223.0,262.7,11.3,764.9,114,74,90,3,45.54,18.96,11.82,3.05,281,79.37,0.85,0.1,2.72,0.28,35.02,29.15,34.34,1.48,57.38,23.89,14.89,3.84,critical,yes
860,334-3289,415,HI,no,no,no,2,0,169,179.2,175.2,228.6,9.9,592.9,111,130,92,6,30.46,14.89,10.29,2.67,339,58.31,0.35,0.1,1.75,0.17,30.22,29.55,38.56,1.67,52.24,25.54,17.65,4.58,high,no
861,353-7822,415,MO,no,no,no,1,0,58,149.4,196.5,209.5,14.9,570.3,145,105,108,3,25.4,16.7,9.43,4.02,361,55.55,0.96,0.1,1.58,0.15,26.2,34.46,36.74,2.61,45.72,30.06,16.98,7.24,low,no
862,350-1422,510,CA,no,no,yes,3,38,75,163.6,146.7,345.8,13.1,669.2,132,113,115,3,27.81,12.47,15.56,3.54,363,59.38,0.79,0.09,1.84,0.16,24.45,21.92,51.67,1.96,46.83,21.0,26.2,5.96,critical,no
863,385-8406,408,MO,no,no,no,1,0,45,207.6,152.7,217.8,12.4,590.5,71,94,125,13,35.29,12.98,9.8,3.35,303,61.42,1.36,0.1,1.95,0.2,35.16,25.86,36.88,2.1,57.46,21.13,15.96,5.45,low,no
864,380-7277,510,CT,no,no,no,3,0,155,165.4,183.7,80.2,8.9,438.2,108,103,108,4,28.12,15.61,3.61,2.4,323,49.74,0.32,0.11,1.36,0.15,37.75,41.92,18.3,2.03,56.53,31.38,7.26,4.83,critical,no
865,352-1798,415,MD,no,no,no,4,0,52,209.8,171.3,154.6,9.9,545.6,114,82,119,9,35.67,14.56,6.96,2.67,324,59.86,1.15,0.11,1.68,0.18,38.45,31.4,28.34,1.81,59.59,24.32,11.63,4.46,critical,no
866,385-7922,415,OH,no,no,yes,0,27,119,220.1,268.2,146.5,11.1,645.9,128,133,80,3,37.42,22.8,6.59,3.0,344,69.81,0.59,0.11,1.88,0.2,34.08,41.52,22.68,1.72,53.6,32.66,9.44,4.3,none,no
867,353-7730,510,NV,no,no,no,1,0,86,141.3,154.3,210.6,8.2,514.4,72,95,91,5,24.02,13.12,9.48,2.21,263,48.83,0.57,0.09,1.96,0.19,27.47,30.0,40.94,1.59,49.19,26.87,19.41,4.53,low,no
868,337-7163,408,MD,no,no,no,0,0,42,196.5,241.3,143.2,4.0,585.0,89,123,105,7,33.41,20.51,6.44,1.08,324,61.44,1.46,0.11,1.81,0.19,33.59,41.25,24.48,0.68,54.38,33.38,10.48,1.76,none,no
869,348-5567,510,NE,no,yes,no,2,0,127,180.9,209.5,249.9,7.4,647.7,114,118,105,4,30.75,17.81,11.25,2.0,341,61.81,0.49,0.1,1.9,0.18,27.93,32.35,38.58,1.14,49.75,28.81,18.2,3.24,high,no
870,420-9575,408,OH,no,no,no,0,0,123,105.0,251.6,258.0,14.9,629.5,150,90,93,5,17.85,21.39,11.61,4.02,338,54.87,0.45,0.09,1.86,0.16,16.68,39.97,40.98,2.37,32.53,38.98,21.16,7.33,none,no
871,366-3358,510,MA,yes,no,no,4,0,98,271.4,190.4,284.7,11.1,757.6,119,102,118,6,46.14,16.18,12.81,3.0,345,78.13,0.8,0.1,2.2,0.23,35.82,25.13,37.58,1.47,59.06,20.71,16.4,3.84,critical,yes
872,359-9972,510,OK,no,no,yes,1,43,149,206.7,174.6,241.5,10.9,633.7,79,122,80,3,35.14,14.84,10.87,2.94,284,63.79,0.43,0.1,2.23,0.22,32.62,27.55,38.11,1.72,55.09,23.26,17.04,4.61,low,no
873,387-3332,408,MA,no,no,no,1,0,160,166.8,236.0,307.6,9.3,719.7,109,117,77,1,28.36,20.06,13.84,2.51,304,64.77,0.4,0.09,2.37,0.21,23.18,32.79,42.74,1.29,43.79,30.97,21.37,3.88,low,no
874,354-6960,415,WA,no,no,no,5,0,103,204.9,135.2,208.2,10.4,558.7,107,102,106,3,34.83,11.49,9.37,2.81,318,58.5,0.57,0.1,1.76,0.18,36.67,24.2,37.27,1.86,59.54,19.64,16.02,4.8,critical,no
875,405-3335,415,HI,no,no,yes,1,15,132,154.6,245.6,148.6,9.1,557.9,128,106,90,4,26.28,20.88,6.69,2.46,328,56.31,0.43,0.1,1.7,0.17,27.71,44.02,26.64,1.63,46.67,37.08,11.88,4.37,low,no
876,379-4257,415,CO,no,no,no,1,0,137,127.0,323.2,143.9,7.5,601.6,107,75,127,2,21.59,27.47,6.48,2.03,311,57.57,0.42,0.1,1.93,0.19,21.11,53.72,23.92,1.25,37.5,47.72,11.26,3.53,low,no
877,355-4992,415,FL,no,yes,no,1,0,129,267.4,204.2,111.7,5.9,589.2,78,85,146,4,45.46,17.36,5.03,1.59,313,69.44,0.54,0.12,1.88,0.22,45.38,34.66,18.96,1.0,65.47,25.0,7.24,2.29,low,no
878,383-6373,415,WI,no,no,no,1,0,62,281.0,160.6,77.9,0.0,519.5,66,108,74,0,47.77,13.65,3.51,0.0,248,64.93,1.05,0.12,2.09,0.26,54.09,30.91,15.0,0.0,73.57,21.02,5.41,0.0,low,no
879,382-7993,510,ID,no,no,yes,4,33,122,270.8,220.4,169.9,11.8,672.9,96,110,104,8,46.04,18.73,7.65,3.19,318,75.61,0.62,0.11,2.12,0.24,40.24,32.75,25.25,1.75,60.89,24.77,10.12,4.22,critical,yes
880,422-5865,408,WY,no,no,no,1,0,32,171.2,185.6,203.3,10.2,570.3,82,102,64,7,29.1,15.78,9.15,2.75,255,56.78,1.77,0.1,2.24,0.22,30.02,32.54,35.65,1.79,51.25,27.79,16.11,4.84,low,no
881,410-9961,510,GA,no,no,no,3,0,86,124.1,202.6,289.6,6.7,623.0,82,120,119,8,21.1,17.22,13.03,1.81,329,53.16,0.62,0.09,1.89,0.16,19.92,32.52,46.48,1.08,39.69,32.39,24.51,3.4,critical,no
882,343-9946,415,FL,no,no,no,1,0,130,162.8,290.3,114.9,7.2,575.2,113,111,140,3,27.68,24.68,5.17,1.94,367,59.47,0.46,0.1,1.57,0.16,28.3,50.47,19.98,1.25,46.54,41.5,8.69,3.26,low,no
883,357-7060,408,WY,no,no,no,1,0,42,146.3,255.9,45.0,8.0,455.2,84,113,117,12,24.87,21.75,2.03,2.16,326,50.81,1.21,0.11,1.4,0.16,32.14,56.22,9.89,1.76,48.95,42.81,4.0,4.25,low,no
884,355-9541,415,DE,no,no,no,2,0,73,254.8,143.4,153.9,15.0,567.1,85,80,102,7,43.32,12.19,6.93,4.05,274,66.49,0.91,0.12,2.07,0.24,44.93,25.29,27.14,2.65,65.15,18.33,10.42,6.09,high,no
885,378-4145,408,ME,no,no,yes,2,26,66,254.9,243.2,190.8,5.4,694.3,108,135,95,3,43.33,20.67,8.59,1.46,341,74.05,1.12,0.11,2.04,0.22,36.71,35.03,27.48,0.78,58.51,27.91,11.6,1.97,high,yes
886,386-2317,510,DC,no,no,yes,0,31,103,107.7,188.9,196.2,8.9,501.7,124,104,98,3,18.31,16.06,8.83,2.4,329,45.6,0.44,0.09,1.52,0.14,21.47,37.65,39.11,1.77,40.15,35.22,19.36,5.26,none,no
887,335-8146,408,IA,no,no,no,1,0,128,158.8,264.8,270.0,7.6,701.2,75,91,77,7,27.0,22.51,12.15,2.05,250,63.71,0.5,0.09,2.8,0.25,22.65,37.76,38.51,1.08,42.38,35.33,19.07,3.22,low,no
888,377-2235,415,CO,no,no,no,2,0,104,182.9,239.6,229.8,5.5,657.8,113,85,104,4,31.09,20.37,10.34,1.49,306,63.29,0.61,0.1,2.15,0.21,27.8,36.42,34.93,0.84,49.12,32.19,16.34,2.35,high,no
889,386-9141,415,MN,no,no,no,0,0,103,198.5,42.5,179.2,12.4,432.6,112,90,124,5,33.75,3.61,8.06,3.35,331,48.77,0.47,0.11,1.31,0.15,45.89,9.82,41.42,2.87,69.2,7.4,16.53,6.87,none,no
890,416-5623,415,VT,no,no,no,0,0,124,178.4,233.6,179.4,12.0,603.4,72,134,91,2,30.33,19.86,8.07,3.24,299,61.5,0.5,0.1,2.02,0.21,29.57,38.71,29.73,1.99,49.32,32.29,13.12,5.27,none,no
891,327-3053,510,AZ,no,no,no,1,0,87,110.9,158.5,207.5,6.2,483.1,91,115,131,5,18.85,13.47,9.34,1.67,342,43.33,0.5,0.09,1.41,0.13,22.96,32.81,42.95,1.28,43.5,31.09,21.56,3.85,low,no
892,395-6195,415,LA,yes,no,yes,1,27,109,166.9,221.2,197.3,12.3,597.7,85,92,97,4,28.37,18.8,8.88,3.32,278,59.37,0.54,0.1,2.15,0.21,27.92,37.01,33.01,2.06,47.79,31.67,14.96,5.59,low,no
893,397-8772,415,MO,no,yes,no,2,0,167,244.8,60.8,176.7,10.7,493.0,91,105,110,3,41.62,5.17,7.95,2.89,309,57.63,0.35,0.12,1.6,0.19,49.66,12.33,35.84,2.17,72.22,8.97,13.79,5.01,high,no
894,346-7656,510,ME,yes,no,no,4,0,97,120.8,169.8,194.1,11.9,496.6,96,101,63,3,20.54,14.43,8.73,3.21,263,46.91,0.48,0.09,1.89,0.18,24.33,34.19,39.09,2.4,43.79,30.76,18.61,6.84,critical,no
895,343-2350,415,MD,no,no,no,2,0,106,165.3,210.0,187.2,8.5,571.0,118,101,93,3,28.1,17.85,8.42,2.3,315,56.67,0.53,0.1,1.81,0.18,28.95,36.78,32.78,1.49,49.59,31.5,14.86,4.06,high,no
896,372-4722,415,VT,no,no,no,2,0,125,126.7,155.5,206.2,14.4,502.8,113,131,112,7,21.54,13.22,9.28,3.89,363,47.93,0.38,0.1,1.39,0.13,25.2,30.93,41.01,2.86,44.94,27.58,19.36,8.12,high,no
897,399-8615,408,DC,no,no,yes,0,35,108,215.9,200.6,195.4,15.5,627.4,106,107,107,7,36.7,17.05,8.79,4.19,327,66.73,0.62,0.11,1.92,0.2,34.41,31.97,31.14,2.47,55.0,25.55,13.17,6.28,none,no
898,379-8248,415,WY,no,no,no,1,0,125,140.1,209.6,264.1,8.0,621.8,132,126,77,2,23.82,17.82,11.88,2.16,337,55.68,0.45,0.09,1.85,0.17,22.53,33.71,42.47,1.29,42.78,32.0,21.34,3.88,low,no
899,414-6219,415,VA,no,no,yes,1,32,89,209.9,249.8,224.2,8.7,692.6,113,104,92,7,35.68,21.23,10.09,2.35,316,69.35,0.78,0.1,2.19,0.22,30.31,36.07,32.37,1.26,51.45,30.61,14.55,3.39,low,no
900,387-1343,510,VA,no,yes,yes,0,29,72,139.8,138.2,221.0,5.5,504.5,114,91,88,6,23.77,11.75,9.95,1.49,299,46.96,0.65,0.09,1.69,0.16,27.71,27.39,43.81,1.09,50.62,25.02,21.19,3.17,none,no
901,370-5527,510,CT,yes,no,no,2,0,23,321.6,251.6,141.1,11.3,725.6,107,115,158,3,54.67,21.39,6.35,3.05,383,85.46,3.72,0.12,1.89,0.22,44.32,34.67,19.45,1.56,63.97,25.03,7.43,3.57,high,yes
902,393-8736,510,HI,no,no,no,7,0,149,166.6,218.8,208.3,8.2,601.9,61,107,131,6,28.32,18.6,9.37,2.21,305,58.5,0.39,0.1,1.97,0.19,27.68,36.35,34.61,1.36,48.41,31.79,16.02,3.78,critical,no
903,402-7626,415,WI,no,no,no,0,0,73,214.2,196.8,157.9,5.9,574.8,90,78,112,8,36.41,16.73,7.11,1.59,288,61.84,0.85,0.11,2.0,0.21,37.27,34.24,27.47,1.03,58.88,27.05,11.5,2.57,none,no
904,370-2688,415,MD,yes,no,no,1,0,61,260.0,210.5,234.7,9.0,714.2,123,127,70,3,44.2,17.89,10.56,2.43,323,75.08,1.23,0.11,2.21,0.23,36.4,29.47,32.86,1.26,58.87,23.83,14.06,3.24,low,yes
905,418-9036,415,WV,yes,no,no,4,0,161,191.9,70.9,204.8,13.4,481.0,113,87,107,4,32.62,6.03,9.22,3.62,311,51.49,0.32,0.11,1.55,0.17,39.9,14.74,42.58,2.79,63.35,11.71,17.91,7.03,critical,no
906,417-2035,408,VT,no,no,no,0,0,73,213.0,188.8,136.2,13.5,551.5,95,104,89,3,36.21,16.05,6.13,3.65,291,62.04,0.85,0.11,1.9,0.21,38.62,34.23,24.7,2.45,58.37,25.87,9.88,5.88,none,no
907,355-3602,415,UT,no,no,yes,1,24,118,118.1,109.6,245.5,16.9,490.1,83,72,73,2,20.08,9.32,11.05,4.56,230,45.01,0.38,0.09,2.13,0.2,24.1,22.36,50.09,3.45,44.61,20.71,24.55,10.13,low,no
908,393-4027,408,CO,no,no,no,6,0,23,190.2,166.4,219.8,15.0,591.4,89,108,73,4,32.33,14.14,9.89,4.05,274,60.41,2.63,0.1,2.16,0.22,32.16,28.14,37.17,2.54,53.52,23.41,16.37,6.7,critical,no
909,418-5141,415,NC,no,no,yes,0,25,127,82.2,163.3,264.9,5.1,515.5,95,109,104,6,13.97,13.88,11.92,1.38,314,41.15,0.32,0.08,1.64,0.13,15.95,31.68,51.39,0.99,33.95,33.73,28.97,3.35,none,no
910,406-1247,415,NJ,no,no,yes,0,32,42,163.8,177.8,190.4,8.1,540.1,80,123,106,5,27.85,15.11,8.57,2.19,314,53.72,1.28,0.1,1.72,0.17,30.33,32.92,35.25,1.5,51.84,28.13,15.95,4.08,none,no
911,402-3892,415,AR,yes,no,no,5,0,118,267.8,316.4,208.6,14.4,807.2,145,121,91,11,45.53,26.89,9.39,3.89,368,85.7,0.73,0.11,2.19,0.23,33.18,39.2,25.84,1.78,53.13,31.38,10.96,4.54,critical,yes
912,332-2965,510,IA,no,no,no,2,0,45,159.8,120.4,163.0,10.6,453.8,91,86,93,3,27.17,10.23,7.34,2.86,273,47.6,1.06,0.1,1.66,0.17,35.21,26.53,35.92,2.34,57.08,21.49,15.42,6.01,high,no
913,377-1218,408,GA,no,no,yes,1,24,50,214.3,289.8,312.5,10.6,827.2,129,55,130,4,36.43,24.63,14.06,2.86,318,77.98,1.56,0.09,2.6,0.25,25.91,35.03,37.78,1.28,46.72,31.59,18.03,3.67,low,yes
914,355-2464,510,MO,yes,no,no,0,0,179,287.3,288.0,266.0,10.5,851.8,123,114,112,4,48.84,24.48,11.97,2.84,353,88.13,0.49,0.1,2.41,0.25,33.73,33.81,31.23,1.23,55.42,27.78,13.58,3.22,none,yes
915,404-4611,408,MO,no,no,no,2,0,152,101.2,141.6,198.5,7.5,448.8,122,87,124,3,17.2,12.04,8.93,2.03,336,40.2,0.26,0.09,1.34,0.12,22.55,31.55,44.23,1.67,42.79,29.95,22.21,5.05,high,no
916,373-2339,415,WY,no,no,no,2,0,105,102.8,281.7,228.1,13.2,625.8,74,125,113,5,17.48,23.94,10.26,3.56,317,55.24,0.53,0.09,1.97,0.17,16.43,45.01,36.45,2.11,31.64,43.34,18.57,6.44,high,no
917,410-3503,415,HI,no,no,no,0,0,72,109.1,115.7,295.8,8.3,528.9,97,96,84,6,18.55,9.83,13.31,2.24,283,43.93,0.61,0.08,1.87,0.16,20.63,21.88,55.93,1.57,42.23,22.38,30.3,5.1,none,no
918,410-4739,408,PA,no,no,no,1,0,52,215.9,217.0,342.8,5.2,780.9,67,108,130,2,36.7,18.45,15.43,1.4,307,71.98,1.38,0.09,2.54,0.23,27.65,27.79,43.9,0.67,50.99,25.63,21.44,1.94,low,yes
919,365-3562,415,TX,no,no,no,1,0,125,203.4,128.7,190.5,11.0,533.6,110,97,113,4,34.58,10.94,8.57,2.97,324,57.06,0.46,0.11,1.65,0.18,38.12,24.12,35.7,2.06,60.6,19.17,15.02,5.21,low,no
920,387-7641,510,VA,no,no,no,1,0,143,110.1,169.0,166.7,9.2,455.0,113,59,94,2,18.72,14.37,7.5,2.48,268,43.07,0.3,0.09,1.7,0.16,24.2,37.14,36.64,2.02,43.46,33.36,17.41,5.76,low,no
